,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
0,10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,7.3
1,28 Days Later,Danny Boyle,2003,10,3.0,No,7.6
2,28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,7.0
3,30 Days of Night,David Slade,2007,9,2.5,No,6.6
4,31,Rob Zombie,2016,8,2.5,No,5.8
5,47 Meters Down,Johannes Roberts,2017,11,3.0,Yes,5.7
6,1408,Mikael Håfström,2007,8,3.0,No,6.8
7,1922,Zak Hilditch,2017,2,1.0,Yes,6.5
8,A Cure for Wellness,Gore Verbinski,2016,6,1.5,No,6.5
9,A Ghost Story,David Lowery,2017,3,1.0,No,7.0
10,A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0.0,No,7.1
11,A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,7.5
12,A Nightmare on Elm Street,Samuel Bayer,2010,15,3.0,No,5.2
13,A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985,8,2.0,No,5.3
14,A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No,6.5
15,A Quiet Place,John Krasinski,2018,14,4.0,No,7.8
16,A Tale of Two Sisters,Jee-woon Kim,2003,14,3.0,No,7.3
17,Absentia,Mike Flanagan,2011,8,2.0,No,5.8
18,Alien,Ridley Scott,1979,11,2.5,No,8.5
19,Alien: Covenant,Ridley Scott,2017,6,2.0,No,6.7
20,Alien 3,David Fincher,1992,12,2.5,No,6.4
21,Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3.0,No,6.3
22,Aliens,James Cameron,1986,13,3.0,No,8.4
23,Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No,6.6
24,Altered States,Ken Russell,1980,2,0.5,No,6.9
25,Amityville: The Awakening,Franck Khalfoun,2017,11,3.0,No,5.2
26,Amnesiac,Michael Polish,2015,1,0.5,No,4.3
27,An American Werewolf in London,James Landis,1981,14,3.0,No,7.6
28,An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No,5.1
29,Anaconda,Luis Llosa,1997,9,2.0,No,4.6
30,Anna,Jorge Dorado,2013,5,1.0,No,6.5
31,Annabelle,John R. Leonetti,2014,11,3.5,No,5.4
32,Annabelle Comes Home,Gary Dauberman,2019,20,4.0,No,6.0
33,Annabelle: Creation,David F. Sandberg,2017,23,4.5,No,6.8
34,Annihilation,Alex Garland,2018,4,1.5,Yes,7.8
35,Apollo 18,Gonzalo López-Gallego,2011,10,3.0,No,5.2
36,Apostle,Gareth Evans,2018,5,1.5,Yes,6.6
37,Army of Darkness,Sam Raimi,1992,9,2.0,No,7.6
38,Arrival,Denis Villeneuve,2016,3,0.5,No,7.3
39,"As Above, So Below",John Erick Dowdle,2014,7,3.0,Yes,6.1
40,Attack the Block,Joe Cornish,2011,12,3.0,No,6.6
41,Audition,Takashi Miike,1999,1,0.5,No,7.2
42,Backcountry,Adam MacDonald,2014,4,0.5,Yes,6.0
43,Backtrack,Michael Petroni,2015,14,3.5,No,5.9
